更新时间,经度,维度,飞行距离,飞行高度(dm)
2020-07-10 20:32:02.196000,121.41584299811225,31.175571634334233,1193,326.21832275390625
2020-07-10 20:32:02.300000,121.41584298593631,31.175571621827785,1193,326.2203063964844
2020-07-10 20:32:02.403000,121.41584296607029,31.17557159733599,1193,326.2236328125
2020-07-10 20:32:02.506000,121.41584295934148,31.175571592124967,1194,326.2244873046875
2020-07-10 20:32:02.609000,121.41584292505654,31.175571578367872,1194,326.22808837890625
2020-07-10 20:32:02.711000,121.41584292505654,31.175571578367872,1194,326.22808837890625
2020-07-10 20:32:02.814000,121.41584290166588,31.175571588998352,1194,326.2306213378906
2020-07-10 20:32:02.916000,121.4158427757409,31.175571611926845,1194,326.2430114746094
2020-07-10 20:32:03.019000,121.41584269819928,31.175571607758027,1194,326.2503967285156
2020-07-10 20:32:03.122000,121.41584265013631,31.17557160546518,1194,326.2549743652344
2020-07-10 20:32:03.225000,121.41584257259473,31.175571589936336,1194,326.2625427246094
2020-07-10 20:32:03.328000,121.41584252517258,31.175571607653808,1194,326.2674560546875
2020-07-10 20:32:03.430000,121.41584243128955,31.17557168071232,1194,326.279541015625
2020-07-10 20:32:03.535000,121.41584233452278,31.175571839544233,1194,326.2994689941406
2020-07-10 20:32:03.637000,121.4158421621369,31.1755720364166,1194,326.3268127441406
2020-07-10 20:32:03.741000,121.4158421621369,31.1755720364166,1194,326.3268127441406
2020-07-10 20:32:03.844000,121.41584199487772,31.175572259135627,1193,326.35626220703125
2020-07-10 20:32:03.946000,121.41584178115771,31.175572484355946,1193,326.3885192871094
2020-07-10 20:32:04.049000,121.41584141011153,31.17557288852272,1193,326.4456787109375
2020-07-10 20:32:04.151000,121.4158412838661,31.17557306413412,1193,326.4685974121094
2020-07-10 20:32:04.252000,121.41584116947621,31.175573277785972,1193,326.4947204589844
2020-07-10 20:32:04.355000,121.41584109097334,31.175573530207817,1194,326.5237731933594
2020-07-10 20:32:04.458000,121.41584117812755,31.175573907173064,1194,326.5664978027344
2020-07-10 20:32:04.560000,121.41584154981457,31.175574504877147,1194,326.64178466796875
2020-07-10 20:32:04.663000,121.41584229863574,31.175575536971923,1194,326.77685546875
2020-07-10 20:32:04.765000,121.41584229863574,31.175575536971923,1194,326.77685546875
2020-07-10 20:32:04.868000,121.41584344221418,31.175576958329955,1194,326.9687194824219
2020-07-10 20:32:04.971000,121.41584725328777,31.175581187177546,1194,327.5625915527344
2020-07-10 20:32:05.074000,121.41585253733142,31.175586716487487,1194,328.3567810058594
2020-07-10 20:32:05.176000,121.41585253733142,31.175586716487487,1194,328.3567810058594
2020-07-10 20:32:05.280000,121.41585928088742,31.175593591387216,1194,329.3547668457031
2020-07-10 20:32:05.381000,121.41585928088742,31.175593591387216,1194,329.3547668457031
2020-07-10 20:32:05.483000,121.41586312560513,31.175597491002513,1195,329.92205810546875
2020-07-10 20:32:05.585000,121.41586725453521,31.175601610210226,1195,330.52545166015625
2020-07-10 20:32:05.692000,121.4158716609489,31.175606066362548,1195,331.17449951171875
2020-07-10 20:32:05.795000,121.41587634965245,31.17561075940787,1195,331.86102294921875
2020-07-10 20:32:05.900000,121.41588128283635,31.175615768345274,1195,332.58935546875
2020-07-10 20:32:06.001000,121.41589185412782,31.175626471469315,1195,334.14752197265625
2020-07-10 20:32:06.104000,121.41589746724263,31.175632146896277,1196,334.9742126464844
2020-07-10 20:32:06.207000,121.41589746724263,31.175632146896277,1196,334.9742126464844
2020-07-10 20:32:06.309000,121.41590925773158,31.175644119946085,1196,336.715087890625
2020-07-10 20:32:06.412000,121.41590925773158,31.175644119946085,1196,336.715087890625
2020-07-10 20:32:06.514000,121.41592192168504,31.175656968447388,1196,338.5839538574219
2020-07-10 20:32:06.616000,121.41592851175996,31.175663707652134,1196,339.5610046386719
2020-07-10 20:32:06.719000,121.41592851175996,31.175663707652134,1196,339.5610046386719
2020-07-10 20:32:06.822000,121.41593536009326,31.175670658424327,1196,340.5718688964844
2020-07-10 20:32:06.924000,121.41594975623639,31.17568526970974,1197,342.69683837890625
2020-07-10 20:32:07.026000,121.41595644724353,31.175692060920472,1197,343.6844787597656
2020-07-10 20:32:07.129000,121.41596350545184,31.175699164688236,1197,344.7212219238281
2020-07-10 20:32:07.232000,121.41597033840499,31.175706056784332,1197,345.7261657714844
2020-07-10 20:32:07.337000,121.41597692783907,31.175712639137352,1197,346.6898498535156
2020-07-10 20:32:07.440000,121.41598301004852,31.175718690174694,1197,347.5773010253906
2020-07-10 20:32:07.546000,121.4159887439616,31.175724431885843,1196,348.41705322265625
2020-07-10 20:32:07.648000,121.41599387836916,31.175729593818815,1196,349.1707458496094
2020-07-10 20:32:07.750000,121.41599387836916,31.175729593818815,1196,349.1707458496094
2020-07-10 20:32:07.853000,121.41599851035842,31.175734360547974,1195,349.86004638671875
2020-07-10 20:32:07.955000,121.41600243293814,31.175738456931416,1195,350.4488830566406
2020-07-10 20:32:08.058000,121.4160085702598,31.175745162994073,1195,351.3959655761719
2020-07-10 20:32:08.159000,121.41601075680482,31.175747747139283,1194,351.7507019042969
2020-07-10 20:32:08.261000,121.41601226277808,31.175749613518487,1195,352.0028991699219
2020-07-10 20:32:08.364000,121.41601333682539,31.175751083964336,1195,352.1957092285156
2020-07-10 20:32:08.466000,121.41601393344715,31.17575191470527,1195,352.30413818359375
2020-07-10 20:32:08.568000,121.41601425803245,31.175752419548964,1195,352.3681945800781
2020-07-10 20:32:08.670000,121.41601446181946,31.17575244383232,1195,352.38775634765625
2020-07-10 20:32:08.773000,121.4160146306807,31.175752347949537,1196,352.40704345703125
2020-07-10 20:32:08.876000,121.41601492194233,31.175752172233917,1196,352.4409484863281
2020-07-10 20:32:08.979000,121.41601522153489,31.175752048732722,1196,352.47259521484375
2020-07-10 20:32:09.081000,121.41601621611811,31.175751978696603,1197,352.567626953125
2020-07-10 20:32:09.184000,121.41601621611811,31.175751978696603,1197,352.567626953125
2020-07-10 20:32:09.285000,121.41601691687629,31.17575209292218,1197,352.635498046875
2020-07-10 20:32:09.388000,121.41601749235033,31.17575220350004,1197,352.6916198730469
2020-07-10 20:32:09.490000,121.41601824149191,31.1757524136084,1197,352.7666320800781
2020-07-10 20:32:09.592000,121.41601954816403,31.175752768687357,1197,352.8970947265625
2020-07-10 20:32:09.695000,121.41601954816403,31.175752768687357,1197,352.8970947265625
2020-07-10 20:32:09.799000,121.41602010088828,31.175752911052445,1197,352.9519958496094
2020-07-10 20:32:09.901000,121.41602067540106,31.175753132416606,1197,353.0119323730469
2020-07-10 20:32:10.003000,121.41602144536994,31.175753508339646,1197,353.0962829589844
2020-07-10 20:32:10.106000,121.41602169914245,31.175753643513527,1197,353.1247253417969
2020-07-10 20:32:10.207000,121.41602169914245,31.175753643513527,1197,353.1247253417969
2020-07-10 20:32:10.310000,121.41602203590371,31.175753914278165,1197,353.16876220703125
2020-07-10 20:32:10.412000,121.41602203590371,31.175753914278165,1197,353.16876220703125
2020-07-10 20:32:10.515000,121.41602214356477,31.175754120530367,1197,353.19403076171875
2020-07-10 20:32:10.618000,121.41602213074798,31.17575421349498,1197,353.2044372558594
2020-07-10 20:32:10.719000,121.41602213074798,31.17575421349498,1197,353.2044372558594
2020-07-10 20:32:10.822000,121.41602188562679,31.17575421286966,1197,353.23272705078125
2020-07-10 20:32:10.923000,121.41602161967833,31.175754114068702,1197,353.26031494140625
2020-07-10 20:32:11.025000,121.41602130983233,31.17575398014547,1197,353.2933349609375
2020-07-10 20:32:11.130000,121.41602094455372,31.175753841011215,1197,353.33135986328125
2020-07-10 20:32:11.234000,121.41602064367947,31.175753735331714,1197,353.3623046875
2020-07-10 20:32:11.337000,121.41602064367947,31.175753735331714,1197,353.3623046875
2020-07-10 20:32:11.440000,121.4160202627003,31.175753537521363,1197,353.4049072265625
2020-07-10 20:32:11.541000,121.41602014959209,31.17575341203998,1197,353.4225158691406
2020-07-10 20:32:11.644000,121.41602004353311,31.175753294166693,1197,353.4390563964844
2020-07-10 20:32:11.747000,121.41601997560412,31.175753164516497,1197,353.4548645019531
2020-07-10 20:32:11.852000,121.41601990863637,31.175753027466648,1197,353.47137451171875
2020-07-10 20:32:11.953000,121.41601985801003,31.175752825591704,1198,353.49432373046875
2020-07-10 20:32:12.057000,121.4160197878381,31.175752600475604,1198,353.5202331542969
2020-07-10 20:32:12.161000,121.41601947222455,31.175751438209527,1197,353.6529235839844
2020-07-10 20:32:12.263000,121.4160191969839,31.175750197048597,1197,353.79339599609375
2020-07-10 20:32:12.367000,121.41601885509593,31.175748442393676,1197,353.9912109375
2020-07-10 20:32:12.470000,121.41601842124746,31.17574601218202,1197,354.26458740234375
2020-07-10 20:32:12.573000,121.41601791850873,31.175743061180945,1197,354.59619140625
2020-07-10 20:32:12.677000,121.41601730105968,31.175739366254543,1197,355.01123046875
2020-07-10 20:32:12.780000,121.41601661215704,31.175735018283017,1197,355.4991149902344
2020-07-10 20:32:12.882000,121.41601589217363,31.175730532948982,1197,356.0025329589844
2020-07-10 20:32:12.985000,121.416015097212,31.17572544417874,1197,356.57342529296875
2020-07-10 20:32:13.088000,121.41601419426888,31.17571981127371,1198,357.20562744140625
2020-07-10 20:32:13.192000,121.41601328555821,31.17571381651539,1198,357.8778076171875
2020-07-10 20:32:13.295000,121.41601227847865,31.175707380904715,1198,358.59979248046875
2020-07-10 20:32:13.398000,121.41601127396243,31.17570060220043,1198,359.3595886230469
2020-07-10 20:32:13.500000,121.41601022010158,31.175693395254456,1198,360.1672058105469
2020-07-10 20:32:13.602000,121.41601022010158,31.175693395254456,1198,360.1672058105469
2020-07-10 20:32:13.706000,121.4160092322472,31.175685812906547,1197,361.0155334472656
2020-07-10 20:32:13.809000,121.41600824983998,31.17567790810067,1197,361.89947509765625
2020-07-10 20:32:13.912000,121.41600675764475,31.175661284319027,1197,363.75347900390625
2020-07-10 20:32:14.015000,121.41600638659857,31.175652635170938,1198,364.71588134765625
2020-07-10 20:32:14.120000,121.41600631642663,31.175643693163483,1198,365.710205078125
2020-07-10 20:32:14.223000,121.41600653783675,31.175634392637797,1198,366.7445983886719
2020-07-10 20:32:14.326000,121.41600704410008,31.175625009048442,1198,367.78912353515625
2020-07-10 20:32:14.428000,121.41600779260087,31.17561541430852,1198,368.8583984375
2020-07-10 20:32:14.530000,121.41600882659567,31.17560553619329,1198,369.961181640625
2020-07-10 20:32:14.633000,121.41600882659567,31.17560553619329,1198,369.961181640625
2020-07-10 20:32:14.735000,121.41601159598437,31.17558498007114,1198,372.2621765136719
2020-07-10 20:32:14.837000,121.41601343166965,31.175573887058523,1198,373.5079650878906
2020-07-10 20:32:14.940000,121.41601533175933,31.17556373067478,1199,374.65167236328125
2020-07-10 20:32:15.042000,121.4160175240719,31.17555285193934,1199,375.8791809082031
2020-07-10 20:32:15.145000,121.4160175240719,31.17555285193934,1199,375.8791809082031
2020-07-10 20:32:15.247000,121.41602276678138,31.175530582641994,1199,378.40521240234375
2020-07-10 20:32:15.350000,121.41602276678138,31.175530582641994,1199,378.40521240234375
2020-07-10 20:32:15.454000,121.41602894832097,31.175507382760554,1199,381.0511474609375
2020-07-10 20:32:15.559000,121.41603228068735,31.17549574915664,1199,382.3830261230469
2020-07-10 20:32:15.661000,121.41603228068735,31.17549574915664,1199,382.3830261230469
2020-07-10 20:32:15.764000,121.41603228068735,31.17549574915664,1199,382.3830261230469
2020-07-10 20:32:15.868000,121.41604334542536,31.175460345794054,1199,386.4581298828125
2020-07-10 20:32:15.971000,121.41604739040545,31.17544830406299,1199,387.851318359375
2020-07-10 20:32:16.074000,121.41605164461973,31.175436143103774,1199,389.2628173828125
2020-07-10 20:32:16.177000,121.41605164461973,31.175436143103774,1199,389.2628173828125
2020-07-10 20:32:16.278000,121.41606054235834,31.17541163879961,1199,392.1160583496094
2020-07-10 20:32:16.381000,121.41606054235834,31.17541163879961,1199,392.1160583496094
2020-07-10 20:32:16.486000,121.41606519293192,31.175399281489128,1199,393.5596008300781
2020-07-10 20:32:16.589000,121.41607499297284,31.175374321220644,1199,396.48748779296875
2020-07-10 20:32:16.691000,121.41607499297284,31.175374321220644,1199,396.48748779296875
2020-07-10 20:32:16.794000,121.41608006714146,31.175361774229007,1199,397.96380615234375
2020-07-10 20:32:16.896000,121.41609082619894,31.175335908910434,1199,401.01666259765625
2020-07-10 20:32:16.999000,121.41609592023362,31.175323901467888,1200,402.43707275390625
2020-07-10 20:32:17.101000,121.41610138883908,31.175311236081857,1200,403.93841552734375
2020-07-10 20:32:17.203000,121.41610138883908,31.175311236081857,1200,403.93841552734375
2020-07-10 20:32:17.307000,121.41611265383948,31.17528587133394,1200,406.95562744140625
2020-07-10 20:32:17.409000,121.41611265383948,31.17528587133394,1200,406.95562744140625
2020-07-10 20:32:17.513000,121.41612426681586,31.175260423313915,1200,409.9933776855469
2020-07-10 20:32:17.616000,121.41613023719879,31.175247657772065,1201,411.52227783203125
2020-07-10 20:32:17.718000,121.41613023719879,31.175247657772065,1201,411.52227783203125
2020-07-10 20:32:17.821000,121.41613633895386,31.175234870031264,1201,413.0581359863281
2020-07-10 20:32:17.927000,121.41614252401808,31.175222063947675,1201,414.5989074707031
2020-07-10 20:32:18.030000,121.41615521104175,31.175196270124307,1201,417.7106628417969
