时间,经度,维度
2020-07-10 12:31:48,121.4149266,31.1759277
2020-07-10 12:31:49,121.4149452,31.1759195
2020-07-10 12:31:49,121.4149643,31.1759112
2020-07-10 12:31:49,121.414984,31.1759026
2020-07-10 12:31:49,121.4150044,31.1758938
2020-07-10 12:31:49,121.4150251,31.175885
2020-07-10 12:31:50,121.4150464,31.1758759
2020-07-10 12:31:50,121.4150679,31.1758667
2020-07-10 12:31:50,121.4150899,31.1758573
2020-07-10 12:31:50,121.4151121,31.1758478
2020-07-10 12:31:50,121.4151347,31.1758383
2020-07-10 12:31:51,121.4151577,31.1758287
2020-07-10 12:31:51,121.4151808,31.1758191
2020-07-10 12:31:51,121.4152275,31.1757998
2020-07-10 12:31:51,121.4152512,31.1757901
2020-07-10 12:31:52,121.4152751,31.1757804
2020-07-10 12:31:52,121.4152995,31.1757706
2020-07-10 12:31:52,121.4153241,31.1757608
2020-07-10 12:31:52,121.4153492,31.175751
2020-07-10 12:31:52,121.4153744,31.1757413
2020-07-10 12:31:53,121.4153999,31.1757316
2020-07-10 12:31:53,121.4154255,31.1757219
2020-07-10 12:31:53,121.4154511,31.1757123
2020-07-10 12:31:53,121.4154768,31.1757027
2020-07-10 12:31:53,121.4155025,31.1756931
2020-07-10 12:31:54,121.4155283,31.1756835
2020-07-10 12:31:54,121.4155539,31.1756737
2020-07-10 12:31:54,121.4155793,31.175664
2020-07-10 12:31:54,121.4156048,31.1756543
2020-07-10 12:31:54,121.4156302,31.1756446
2020-07-10 12:31:55,121.4156806,31.1756254
2020-07-10 12:31:55,121.4157301,31.1756063
2020-07-10 12:31:55,121.4157528,31.1755979
2020-07-10 12:31:56,121.4157736,31.1755902
2020-07-10 12:31:56,121.4157916,31.1755835
2020-07-10 12:31:56,121.4158065,31.1755781
2020-07-10 12:31:56,121.4158181,31.175574
2020-07-10 12:31:56,121.4158266,31.1755712
2020-07-10 12:31:57,121.4158318,31.1755697
2020-07-10 12:31:57,121.4158348,31.1755692
2020-07-10 12:31:57,121.4158369,31.175569
2020-07-10 12:31:57,121.4158385,31.1755689
2020-07-10 12:31:57,121.4158399,31.1755691
2020-07-10 12:31:58,121.4158414,31.1755691
2020-07-10 12:31:58,121.4158424,31.1755688
2020-07-10 12:31:58,121.4158428,31.1755683
2020-07-10 12:31:58,121.4158431,31.1755677
2020-07-10 12:31:58,121.4158431,31.1755674
2020-07-10 12:31:59,121.4158431,31.1755673
2020-07-10 12:31:59,121.415843,31.1755671
2020-07-10 12:31:59,121.4158427,31.1755671
2020-07-10 12:31:59,121.4158424,31.175567
2020-07-10 12:31:59,121.4158421,31.1755671
2020-07-10 12:32:00,121.4158418,31.1755672
2020-07-10 12:32:00,121.4158414,31.1755673
2020-07-10 12:32:00,121.4158412,31.1755673
2020-07-10 12:32:00,121.415841,31.1755673
2020-07-10 12:32:00,121.4158408,31.1755673
2020-07-10 12:32:01,121.4158405,31.1755674
2020-07-10 12:32:01,121.4158403,31.1755674
2020-07-10 12:32:01,121.4158402,31.1755674
2020-07-10 12:32:01,121.4158401,31.1755674
2020-07-10 12:32:02,121.4158401,31.1755674
2020-07-10 12:32:02,121.4158401,31.1755674
2020-07-10 12:32:02,121.41584,31.1755674
2020-07-10 12:32:02,121.4158399,31.1755674
2020-07-10 12:32:02,121.4158397,31.1755675
2020-07-10 12:32:02,121.4158392,31.1755675
2020-07-10 12:32:03,121.4158387,31.1755674
2020-07-10 12:32:03,121.4158383,31.1755675
2020-07-10 12:32:03,121.4158383,31.1755676
2020-07-10 12:32:03,121.415838,31.1755681
2020-07-10 12:32:03,121.4158379,31.1755684
2020-07-10 12:32:04,121.4158381,31.1755694
2020-07-10 12:32:04,121.4158396,31.1755714
2020-07-10 12:32:04,121.4158425,31.1755749
2020-07-10 12:32:04,121.4158468,31.1755797
2020-07-10 12:32:04,121.4158525,31.1755857
2020-07-10 12:32:05,121.4158595,31.175593
2020-07-10 12:32:05,121.4158769,31.1756109
2020-07-10 12:32:05,121.4158872,31.1756214
2020-07-10 12:32:05,121.4158985,31.1756329
2020-07-10 12:32:06,121.4159106,31.1756452
2020-07-10 12:32:06,121.4159237,31.1756584
2020-07-10 12:32:06,121.4159375,31.1756724
2020-07-10 12:32:06,121.4159515,31.1756864
2020-07-10 12:32:06,121.4159653,31.1756998
2020-07-10 12:32:07,121.415978,31.175712
2020-07-10 12:32:07,121.4159976,31.1757317
2020-07-10 12:32:07,121.416004,31.1757385
2020-07-10 12:32:07,121.4160083,31.1757433
2020-07-10 12:32:08,121.4160109,31.175746
2020-07-10 12:32:08,121.4160123,31.1757473
2020-07-10 12:32:08,121.4160136,31.1757479
2020-07-10 12:32:08,121.4160159,31.1757487
2020-07-10 12:32:08,121.4160159,31.1757487
2020-07-10 12:32:09,121.4160178,31.1757492
2020-07-10 12:32:09,121.4160185,31.1757494
2020-07-10 12:32:09,121.4160188,31.1757496
2020-07-10 12:32:09,121.416019,31.1757497
2020-07-10 12:32:10,121.416019,31.1757498
2020-07-10 12:32:10,121.4160189,31.1757498
2020-07-10 12:32:10,121.4160182,31.1757497
2020-07-10 12:32:10,121.4160175,31.1757498
2020-07-10 12:32:10,121.4160172,31.17575
2020-07-10 12:32:11,121.4160171,31.1757501
2020-07-10 12:32:11,121.4160171,31.1757499
2020-07-10 12:32:11,121.4160172,31.1757496
2020-07-10 12:32:11,121.416017,31.1757493
2020-07-10 12:32:12,121.4160161,31.1757459
2020-07-10 12:32:12,121.4160152,31.1757414
2020-07-10 12:32:12,121.416014,31.1757349
2020-07-10 12:32:12,121.4160125,31.1757264
2020-07-10 12:32:12,121.4160107,31.1757162
2020-07-10 12:32:13,121.4160089,31.1757041
2020-07-10 12:32:13,121.4160068,31.1756905
2020-07-10 12:32:13,121.4160048,31.1756753
2020-07-10 12:32:13,121.4160036,31.1756587
2020-07-10 12:32:13,121.4160035,31.1756411
2020-07-10 12:32:14,121.4160042,31.1756224
2020-07-10 12:32:14,121.4160059,31.1756027
2020-07-10 12:32:14,121.4160086,31.1755822
2020-07-10 12:32:14,121.4160122,31.1755609
2020-07-10 12:32:14,121.4160167,31.1755388
2020-07-10 12:32:15,121.4160223,31.1755162
2020-07-10 12:32:15,121.4160285,31.1754929
2020-07-10 12:32:15,121.4160357,31.1754691
2020-07-10 12:32:15,121.4160435,31.175445
2020-07-10 12:32:15,121.4160521,31.1754205
2020-07-10 12:32:16,121.4160612,31.1753957
2020-07-10 12:32:16,121.416071,31.1753706
2020-07-10 12:32:16,121.4160811,31.1753454
2020-07-10 12:32:16,121.4160918,31.1753201
2020-07-10 12:32:16,121.4161029,31.1752945
2020-07-10 12:32:17,121.4161144,31.175269
2020-07-10 12:32:17,121.4161263,31.1752434
2020-07-10 12:32:17,121.4161512,31.1751919
2020-07-10 12:32:17,121.4161645,31.1751663
2020-07-10 12:32:18,121.4161786,31.175141
2020-07-10 12:32:18,121.4161932,31.1751157
2020-07-10 12:32:18,121.4162084,31.1750907
2020-07-10 12:32:18,121.4162243,31.1750658
2020-07-10 12:32:19,121.4162581,31.1750171
2020-07-10 12:32:19,121.4162762,31.1749933
2020-07-10 12:32:19,121.4162946,31.1749699
2020-07-10 12:32:19,121.4163136,31.1749468
2020-07-10 12:32:19,121.4163329,31.1749242
2020-07-10 12:32:20,121.4163521,31.1749021
2020-07-10 12:32:20,121.4163716,31.1748804
2020-07-10 12:32:20,121.4163915,31.174859
2020-07-10 12:32:20,121.4164114,31.1748379
2020-07-10 12:32:20,121.4164317,31.174817
2020-07-10 12:32:21,121.4164521,31.1747962
2020-07-10 12:32:21,121.4164728,31.1747757
2020-07-10 12:32:21,121.4165146,31.174735
2020-07-10 12:32:21,121.4165359,31.1747147
2020-07-10 12:32:22,121.4165574,31.1746946
2020-07-10 12:32:22,121.4165791,31.1746745
2020-07-10 12:32:22,121.4166008,31.1746546
2020-07-10 12:32:22,121.4166226,31.1746348
2020-07-10 12:32:22,121.4166445,31.174615
2020-07-10 12:32:23,121.4166667,31.1745954
2020-07-10 12:32:23,121.4166888,31.174576
2020-07-10 12:32:23,121.4167109,31.1745567
2020-07-10 12:32:23,121.4167329,31.1745376
2020-07-10 12:32:23,121.416755,31.1745184
2020-07-10 12:32:24,121.4167771,31.1744992
2020-07-10 12:32:24,121.4167993,31.1744799
2020-07-10 12:32:24,121.4168216,31.1744606
2020-07-10 12:32:24,121.4168438,31.1744414
2020-07-10 12:32:24,121.4168661,31.1744221
2020-07-10 12:32:25,121.4168884,31.1744027
2020-07-10 12:32:25,121.4169106,31.1743835
2020-07-10 12:32:25,121.4169328,31.1743644
2020-07-10 12:32:26,121.4170846,31.1742307
2020-07-10 12:32:27,121.4171063,31.1742116
2020-07-10 12:32:27,121.4171281,31.1741924
2020-07-10 12:32:27,121.4171499,31.1741733
2020-07-10 12:32:27,121.4171719,31.1741541
2020-07-10 12:32:27,121.4171938,31.1741348
2020-07-10 12:32:28,121.4172158,31.1741156
2020-07-10 12:32:28,121.4172379,31.1740963
2020-07-10 12:32:28,121.4172598,31.1740771
